ASV_ID,Bengal-C10N17,Bengal-C10N23,Bengal-C11N11,Bengal-C11N23,Bengal-C12N13A,Bengal-C12N13B,Bengal-C12N23A,Bengal-C12N23B,Bengal-C13N11,Bengal-C13N23,Bengal-C14N10A,Bengal-C14N10B,Bengal-C14N23A,Bengal-C14N23B,Bengal-C15N23A,Bengal-C15N23B,Bengal-C16N11,Bengal-C16N23,Bengal-C17N15,Bengal-C17N23,Bengal-C18N17,Bengal-C18N23,Bengal-C1N17,Bengal-C1N23,Bengal-C2N17,Bengal-C2N23,Bengal-C3N17,Bengal-C3N23,Bengal-C4N17A,Bengal-C4N17B,Bengal-C4N17C,Bengal-C4N23,Bengal-C5N13,Bengal-C5N23,Bengal-C6N17,Bengal-C6N23,Bengal-C7N13,Bengal-C7N23,Bengal-C8N13,Bengal-C8N23,Bengal-C9N11,Bengal-C9N23
cec9b7445da40afce01864729f50dc23,2167,41704,62,54169,205,43,15866,65841,252,42121,8765,2045,68542,6160,65056,88685,253,20531,863,52437,192,45875,2286,22650,11180,22388,286,20087,732,7042,1571,16698,20381,30,501,20647,434,26907,116,37516,58,10287
de05c74f1a4741be8ed2874fe5013187,21833,32,9545,25,28151,4785,9,0,12284,16,24477,4783,0,7,53,10,27348,0,26088,13,31435,16,14328,774,3473,331,5782,0,826,11722,2307,310,59,6965,43272,209,40465,25,51061,31,51011,0
d47fbc8bf4a19f82431bc9f1d1886734,3342,11023,808,11016,3794,845,6299,21750,3169,8515,16399,4161,22711,2231,13480,21176,2191,7831,4558,12420,2481,10136,9529,11341,7019,7214,3370,5919,1376,13999,3430,5932,5311,1218,3324,6604,2232,8790,1919,6286,1282,4722
5d5209278687dd2eea335a3027df16a3,731,28844,98,12937,81,0,7097,27861,118,23928,667,212,19561,2026,8939,13399,84,19829,171,7847,0,9793,0,1131,1344,10329,0,3780,825,6630,1420,3017,4982,0,392,4937,157,7930,0,17488,0,6703
9fbcaf2b4f2d8d256ec96c9932ec7678,4842,4143,1838,2748,8714,1572,1987,8630,4186,2263,6793,1444,6411,453,925,1354,4374,3866,3803,4725,4227,4921,4485,537,2121,1886,1354,1757,1283,15268,3026,1703,3238,2761,9390,3679,6031,3765,4331,3717,3935,1924
72940429e43cf56f10ad363159ce43a5,13588,0,5957,0,11432,2086,0,0,11209,0,13838,3314,0,0,0,0,10706,0,10501,0,5164,0,664,0,1980,0,2397,0,823,7985,1648,0,0,2977,25191,0,9544,0,10386,0,6331,0
b19ab7ef7b10386b73438846c676a352,3095,8839,425,3970,397,96,2131,8937,455,7410,2348,588,6135,842,2663,4082,289,6491,783,2641,123,2972,119,376,874,3475,130,1516,715,6303,1285,1277,2016,238,1981,1908,683,2665,344,5603,145,2075
90dcb671f4f5cd24834bc47f47909894,1662,2968,628,3406,3616,707,1515,5873,2610,1894,5113,1222,5473,451,3303,5512,1607,1383,2768,2889,2059,2408,2472,3886,2284,2806,1275,2835,458,2972,865,1363,1463,976,2343,1483,1850,3493,1432,2004,1094,1438
f2f7432806f13a2cea00cef10763d283,5137,0,2991,0,8374,1492,0,0,8354,0,5646,1360,0,0,0,0,9279,0,3310,0,7831,0,117,0,72,0,1781,0,209,1286,325,0,0,2033,11048,0,8152,0,8664,0,8614,0
e5f57a1d32649362edbb883cd4369cba,4336,17,1498,0,12307,1739,6,20,4412,9,13353,2518,12,0,0,0,4482,8,4003,8,3071,0,944,123,602,87,1437,94,415,6077,1080,140,121,1509,4697,150,2399,0,3146,6,3079,0
3c4e6da263c28a852f3a2d8866ba8f85,5315,0,2499,0,14735,1613,0,0,5015,0,7303,1319,0,0,0,0,4715,0,6155,0,3910,0,416,0,56,0,1934,0,181,2217,342,0,0,1815,5699,0,2875,0,4958,0,4537,0
ba4ff6c17316205ee137a2af348d9a9c,1208,2369,311,1993,1180,289,1132,3663,1018,1467,4745,1125,4193,486,2086,3340,715,1417,1407,1985,672,1563,1552,2087,1488,1505,969,1125,317,2998,643,1016,938,383,975,1174,644,1459,473,1362,346,938
ea35519e4c13a1739b5ce09c2f57f134,944,3507,221,2513,804,110,1054,4808,327,1328,1448,294,4703,377,2482,3491,242,1848,648,3086,142,2645,1154,2792,924,1371,439,1551,212,2071,398,1064,1095,237,1124,1198,429,2023,259,1908,238,942
fdfb4390c22313935b1aac43900cf89c,574,2102,177,2090,978,194,1137,3910,743,1573,2968,658,3992,462,2320,3652,431,1378,848,2268,616,2041,1691,1937,1183,1312,679,1018,222,2222,547,1084,982,274,642,1108,495,1714,327,1280,360,907
