Sample,V1V2_ID_in_metafile,ID,New_ID,Program,Cruise_ID,Cast,Niskin,yyyymmdd,decy,time.UTC.,Sunrise,Sunset,Season,latN,lonW,Depth,Nominal_Depth,DCM,MLD_dens125,VertZone,Temp,CTD_S,Fluo.ug.L.,PP_ID,PP_collection_date,PP_depth,PP_mgC_m3_d,PP_QF,chl_collection_date,chl_depth,chl.ug.kg.,chl_ID,NO3.NO2_collection_date,NO3.NO2_depth,NO3.NO2.umol.kg.,NO3.NO2_QF,NO3.NO2_ID,PO4_collection_date,PO4_depth,PO4.umol.kg.,PO4_QF,PO4_ID,total_read_sample,total_photosyn_sample,total_plastid_sample,total_chloro_sample,total_cyano_sample,total_prasino_sample,seq6,seq61,seq77,seq81,seq177,seq273,seq345,seq503,seq816,seq1156,seq1217,seq1248,seq1296,seq1412,seq1638,seq2277,seq2347,seq2535,seq2562,seq2883,seq2949,seq3014,seq3019,seq3402,seq3768,seq3858,seq3870,seq5929,seq6001,seq6637,seq6699,seq7021,seq7584,seq7808,seq8101,seq8472,seq8646,seq8878,seq9600,seq9844,seq9979,seq10382,seq10835,seq11443,seq11662,seq12724,seq13406,seq13409,seq13532,seq13534,seq13694,seq14271,seq16961,seq17508,seq17744,seq17799,seq18122,seq18351,seq18746,seq20223,seq20924,seq21175,seq21194,seq21947,seq22206,seq22378,seq22384,seq23198,seq23875,seq26498,seq26542,seq26857,seq26923,seq28197,seq28442,seq28856,seq29225,seq29394,seq30087,seq30308,seq30570,seq30899,seq31345,seq31558,seq31574,seq32339,seq33032,seq33106,seq34536,seq35374,seq36165,seq36361,seq39525,seq40398,seq40454,seq40606,seq40809,seq41264,seq41740,seq41934,seq42169,seq42836,seq42867,seq46479,seq46495,seq49019,seq52758,seq53633,seq54252,seq54488,seq54776,seq54940,seq54944,seq54953,seq55021,seq55070,seq56821,seq56842,seq57716,seq57827,seq57947,seq57981,seq58652,seq59086,seq60686,seq61094,seq61975,seq63408,seq63770,seq65687
1819C10N10_S68,1819C10N10_S68,BSAE1819.10.10,9181901010,BIOSSCOPE,AE1819,10,10,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,120.137,120,77.4439,19.8603,2,19.863,36.7126,0.1406,1034901615,2018.551,119.4,-0.77,1,2018.55229,119,0.302,1034901716,2018.5079,160,1.36,NA,BSAE1819.9.13,2018.5079,160,0.04,NA,BSAE1819.9.13,103107,12298,5119,1629,7173,1625,509,29,479,8,424,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,48,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C10N12_S69,1819C10N12_S69,BSAE1819.10.12,9181901012,BIOSSCOPE,AE1819,10,12,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,159.105,160,77.4439,19.8603,3,19.4827,36.6766,0.0508,NA,NA,NA,NA,NA,2018.55229,160,0.039,1034901720,2018.5079,200,1.64,NA,BSAE1819.9.14,2018.5079,200,0.05,NA,BSAE1819.9.14,101431,2333,970,274,1359,274,59,21,108,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C10N14_S70,1819C10N14_S70,BSAE1819.10.14,9181901014,BIOSSCOPE,AE1819,10,14,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,200.404,200,77.4439,19.8603,3,19.3461,36.6644,0.0227,NA,NA,NA,NA,NA,2018.55229,200,0,1034901721,2018.5079,200,1.64,NA,BSAE1819.9.18,2018.5079,200,0.04,NA,BSAE1819.9.18,98609,592,338,67,254,65,11,0,22,0,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C10N17_S71,1819C10N17_S71,BSAE1819.10.17,9181901017,BIOSSCOPE,AE1819,10,17,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,250.19,250,77.4439,19.8603,3,19.2053,36.6572,0.0211,NA,NA,NA,NA,NA,2018.55229,250,NA,NA,2018.5086,250,1.83,0,BSAE1819.10.17,2018.5086,250,0.08,1,BSAE1819.10.17,112481,92,57,9,35,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C10N2_S65,1819C10N2_S65,BSAE1819.10.2,9181901002,BIOSSCOPE,AE1819,10,2,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,4.054,1,77.4439,19.8603,0,26.0844,36.4754,0.0427,1034901601,2018.551,3.7,3.02,1,2018.55229,4,0.02,1034901702,2018.5079,1,0,NA,BSAE1819.9.1,2018.5079,1,0.02,NA,BSAE1819.9.1,143165,6370,1766,45,4588,24,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C10N4_S66,1819C10N4_S66,BSAE1819.10.4,9181901004,BIOSSCOPE,AE1819,10,4,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,40.236,40,77.4439,19.8603,1,21.951,36.7372,0.0554,1034901605,2018.551,40.2,0.91,1,2018.55229,40,0.049,1034901708,2018.5079,40,0,NA,BSAE1819.9.4,2018.5079,40,0,NA,BSAE1819.9.4,136251,13364,1895,77,11434,59,21,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C10N8_S67,1819C10N8_S67,BSAE1819.10.8,9181901008,BIOSSCOPE,AE1819,10,8,20180705,2018.5086,1528,920,2320,3,31.6706,64.171,79.636,80,77.4439,19.8603,2,20.1695,36.7217,0.3042,1034901609,2018.551,80.3,1.76,1,2018.55229,80,0.107,1034901712,2018.5079,80,0.25,NA,BSAE1819.9.9,2018.5079,80,0.02,NA,BSAE1819.9.9,98311,18050,6213,3410,11835,3410,1577,69,824,61,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C11N10_S44,1819C11N10_S44,BSAE1819.11.10,9181901110,BIOSSCOPE,AE1819,11,10,20180705,2018.5094,2228,920,2320,3,31.6662,64.1662,120.851,120,88.3635,20.8531,2,19.7895,36.7033,0.1589,1034901613,2018.551,119.4,-0.77,1,2018.55229,119,0.039,1034901716,2018.5079,160,1.36,NA,BSAE1819.9.13,2018.5079,160,0.04,NA,BSAE1819.9.13,89543,11680,3797,1151,7881,1149,386,32,384,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C11N12_S77,1819C11N12_S77,BSAE1819.11.12,9181901112,BIOSSCOPE,AE1819,11,12,20180705,2018.5094,2228,920,2320,3,31.6662,64.1662,160.79,160,88.3635,20.8531,3,19.4992,36.676,0.0666,NA,NA,NA,NA,NA,2018.55229,160,0,1034901720,2018.5079,200,1.64,NA,BSAE1819.9.14,2018.5079,200,0.05,NA,BSAE1819.9.14,104481,3867,1622,395,2243,376,108,24,121,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819C11N17_S79,1819C11N17_S79,BSAE1819.11.17,9181901117,BIOSSCOPE,AE1819,11,17,20180705,2018.5094,2228,920,2320,3,31.6662,64.1662,252.126,250,88.3635,20.8531,3,19.1738,36.6423,0.0216,NA,NA,NA,NA,NA,2018.55229,250,NA,NA,2018.5094,250,2.09,0,BSAE1819.11.17,2018.5086,250,0.08,1,BSAE1819.11.17,114510,108,54,4,50,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
