V1V2_ID_in_metafile,decy
C2_N5_S106,2016.5212
C5_N7_S123,2016.5226
C7_N7_S115,2016.5233
C8_N7_S91,2016.524
C11_N7_S99,2016.5248
C12_N5_S130,2016.5255
C14_N7_S83,2016.526
C15_N7_S67,2016.5268
C18_N5_S74,2016.5282
10326_5_S85,2016.56153
10327_4_S92,2016.6305
10328_4_S103,2016.72544
BS_4_S65,2016.80194
BS_16_S77,2016.88943
BS_27_S88,2016.95561
BS_39_S100,2017.020495
BS_51_S112,2017.131779
-999,-999
C4_80_S27,2017.2509
C8_80_S35,2017.2519
C11_80_S43,2017.2532
C14_80_S51,2017.2546
C16_80_S59,2017.2559
BS_63_S124,2017.275335
BS_74_S135,2017.294414
BS_84_S145,2017.35195
BS84a_S4,2017.35195
BS_104_S12,2017.453194
BS_116_S24,2017.549353
BS_126_S34,2017.626621
BS_138_S46,2017.702755
BS_149_S57,2017.79426
BS_161_S69,2017.883588
BS_174_S82,2017.952139
BS_185_S23,2018.0455
BS_197_S35,2018.11621
BS_209_S47,2018.155713
BS_217_S55,2018.229804
BS_229_S67,2018.288845
BS_241_S79,2018.31503
BS_249_S87,2018.395738
BS_262_S100,2018.450381
1819C1N7_S19,2018.5035
1819C3N8_S27,2018.5042
1819C5N8_S35,2018.5051
1819C6N8_S43,2018.5061
1819C7N8_S51,2018.507
1819C9N9_S59,2018.5079
1819C10N8_S67,2018.5086
1819C11N8_S75,2018.5094
BS273_S111,2018.55457
BS286_S124,2018.620327
BS298_S136,2018.699772
BS310_S148,2018.809372
BS321_S159,2018.853994
BS332_S169,2018.957498
BS344_S3,2019.034551
BS356_S15,2019.134199
BS368_S27,2019.191581
BS380_S39,2019.278154
BS392_S51,2019.303489
BS401_S60,2019.370139
BS413_S72,2019.3844
BS425_S84,2019.3858
BS437_S96,2019.3886
BS449_S108,2019.437869
BS461_S120,2019.5168
BS469_S128,2019.5179
BS477_S136,2019.5189
BS484_S143,2019.5208
-999,2019.5215
-999,2019.5226
BS508_S167,2019.5235
BS517_S176,2019.5244
BS524_S3,2019.542618
BS536_S15,2019.637348
BS549_S28,2019.694842
BS561_S40,2019.812089
BS573_S52,2019.887414
BS585_S64,2019.950715
