V1V2_ID_in_metafile	decy	yyyymmdd	order_number	Fluo.ug.L.	percent_prasino_of_plastid
C2_N5_S106	2016.5212	20160709	1	0.3411	45.09973981
C5_N7_S123	2016.5226	20160710	2	0.1269	42.19798658
C7_N7_S115	2016.5233	20160710	3	0.1557	55.34969893
C8_N7_S91	2016.524	20160710	4	0.1378	32.92273236
C11_N7_S99	2016.5248	20160711	5	0.2293	6.875
C12_N5_S130	2016.5255	20160711	6	0.09	4.145728643
C14_N5_S82	2016.526	20160711	7	0.108	12.50983478
C15_N7_S67	2016.5268	20160711	8	0.146	21.65898618
C18_N5_S74	2016.5282	20160712	9	0.2242	15.02808989
10326_5_S85	2016.56153	20160724	10	0.101	12.80487805
10327_4_S92	2016.6305	20160818	11	0.194	10.6741573
10328_4_S103	2016.72544	20160922	12	0.103	10
BS_4_S65	2016.80194	20161020	13	0.151	28.84468248
BS_16_S77	2016.88943	20161121	14	0.146	6.947368421
BS_27_S88	2016.95561	20161215	15	0.103	1.5625
BS_39_S100	2017.020495	20170108	16	0.0839	69.04761905
BS_51_S112	2017.131779	20170218	17	NA	22.3495702
NA	2017.2	NA	18	0	0
C4_80_S27	2017.2509	20170402	19	0.1589	56.67761357
C8_80_S35	2017.2519	20170402	20	0.2026	55.69955038
C11_80_S43	2017.2532	20170403	21	0.1245	55.73274677
C14_80_S51	2017.2546	20170403	22	0.1927	58.10746553
C16_80_S59	2017.2559	20170404	23	0.1652	82.35294118
BS_63_S124	2017.275335	20170411	24	0.1662	81.21490556
BS_74_S135	2017.294414	20170418	25	0.0455	0.657894737
BS_84_S145	2017.35195	20170509	26	0.1087	31.04166667
BS84a_S4	2017.35195	20170509	27	0.1087	42.57602862
BS_104_S12	2017.453194	20170615	28	0.0915	37.97468354
BS_116_S24	2017.549353	20170720	29	0.1713	44.73108876
BS_126_S34	2017.626621	20170817	30	0.2147	43.9780306
BS_138_S46	2017.702755	20170914	31	0.1541	9.634888438
BS_149_S57	2017.79426	20171017	32	0.174	3.470031546
BS_161_S69	2017.883588	20171119	33	0.0842	23.55072464
BS_174_S82	2017.952139	20171214	34	0.121	15.52660152
BS_185_S23	2018.0455	20180117	35	0.1073	6.493506494
BS_197_S35	2018.11621	20180212	36	0.1505	21.90635452
BS_209_S47	2018.155713	20180226	37	0.1758	24.59770115
BS_217_S55	2018.229804	20180325	38	0.1739	43.20241692
BS_229_S67	2018.288845	20180416	39	0.1825	71.54126214
BS_241_S79	2018.31503	20180425	40	0.2553	11.70212766
BS_249_S87	2018.395738	20180525	41	0.1441	3.667953668
BS_262_S100	2018.450381	20180614	42	0.1543	40.04352557
1819C1N7_S19	2018.5035	20180703	43	0.302	48.75421958
1819C3N8_S27	2018.5042	20180704	44	0.3346	66.18208829
1819C5N8_S35	2018.5051	20180704	45	0.261	53.8961039
1819C6N8_S43	2018.5061	20180704	46	0.3356	57.64921573
1819C7N8_S51	2018.507	20180705	47	0.3505	71.4614794
1819C9N9_S59	2018.5079	20180705	48	0.2634	59.54918033
1819C10N8_S67	2018.5086	20180705	49	0.3042	54.88491872
1819C11N8_S75	2018.5094	20180705	50	0.2678	48.77102199
BS273_S111	2018.55457	20180722	51	0.1603	15.54347826
BS286_S124	2018.620327	20180815	52	0.1565	10.07345226
BS298_S136	2018.699772	20180913	53	0.1391	1.380670611
BS310_S148	2018.809372	20181023	54	0.1126	3.784295175
BS321_S159	2018.853994	20181108	55	0.2549	22.84263959
BS332_S169	2018.957498	20181216	56	0.1566	4.573804574
BS344_S3	2019.034551	20190113	57	0.1271	21.16883117
BS356_S15	2019.134199	20190218	58	0.3352	74.87804878
BS368_S27	2019.191581	20190311	59	0.5556	7.455429498
BS380_S39	2019.278154	20190412	60	0.153	33.84030418
BS392_S51	2019.303489	20190421	61	0.2865	56.57142857
BS401_S60	2019.370139	20190516	62	0.1412	0.890207715
BS413_S72	2019.3844	20190521	63	0.1363	4.646464646
BS425_S84	2019.3858	20190521	64	0.3068	6.779661017
BS437_S96	2019.3886	20190522	65	0.1799	31.82926829
BS449_S108	2019.437869	20190609	66	0.2779	31.79487179
BS461_S120	2019.5168	20190708	67	0.3918	59.16862219
BS469_S128	2019.5179	20190709	68	0.238	27.76603242
BS477_S136	2019.5189	20190709	69	0.3333	68.01833568
BS484_S143	2019.5208	20190710	70	0.3403	48.86709503
BS492_S151	2019.5215	20190710	71	0.3253	0
BS500_S159	2019.5226	20190710	72	0.1698	0
BS508_S167	2019.5235	20190711	73	0.3577	35.41233541
BS517_S176	2019.5244	20190711	74	0.3104	55.85178491
BS524_S3	2019.542618	20190718	75	0.1391	2.005730659
BS536_S15	2019.637348	20190821	76	0.1529	34.39667129
BS549_S28	2019.694842	20190911	77	0.1532	11.55140187
BS561_S40	2019.812089	20191024	78	0.1353	12.67427123
BS572_S51	2019.887414	20191120	79	0.1506	40.25755879
BS584_S63	2019.950715	20191214	80	0.1189	21.6066482
