name	edge_num	taxon	like_weight_ratio
seq37940	1377	mel	1
seq30579	1377	mel	1
seq8686	1377	mel	1
seq8481	1377	mel	1
seq10335	1377	mel	1
seq8752	1375	mel	1
seq37540	1375	mel	1
seq49025	1375	mel	1
seq31684	1375	mel	1
seq55338	1375	mel	1
seq3530	1375	mel	1
seq9659	1375	mel	1
seq20463	1375	mel	1
seq5486	1375	mel	1
seq58162	1375	mel	1
seq36497	1376	"NA"	0.767393
seq21416	1376	"NA"	0.682579
seq31938	1372	mel	1
seq30510	1372	mel	1
seq29662	1372	mel	1
seq10621	1372	mel	1
seq31143	1372	mel	1
seq14354	1372	mel	1
seq18216	1372	mel	1
seq20199	1372	mel	1
seq30441	1372	mel	0.986904
seq14259	1372	mel	1
seq35410	1372	mel	0.934938
seq37392	1372	mel	1
seq21547	1372	mel	1
seq13854	1372	mel	1
seq13984	1372	mel	1
seq28129	1372	mel	1
seq49028	1372	mel	1
seq35308	1372	mel	1
seq30640	1372	mel	1
seq6537	1372	mel	1
seq10538	1372	mel	1
seq19249	1372	mel	0.956003
seq36676	1372	mel	1
seq30254	1372	mel	1
seq29102	1372	mel	1
seq19029	1372	mel	1
seq29551	1372	mel	1
seq13953	1372	mel	0.972225
seq8445	1372	mel	1
seq10295	1372	mel	1
seq7030	1372	mel	1
seq28932	1372	mel	1
seq7576	1372	mel	1
seq3700	1371	mel	1
seq22227	1372	mel	0.529686
seq24127	1371	mel	1
seq10488	1372	mel	0.907839
seq28956	1371	mel	1
seq42121	1371	mel	1
seq1361	1371	mel	1
seq23377	1371	mel	0.988211
seq18184	1371	mel	0.849694
seq58103	1372	mel	0.66601
seq20169	1371	mel	0.603364
seq4218	1371	mel	1
seq7705	1371	mel	1
seq13752	1371	mel	0.976146
seq6199	1371	mel	1
seq5506	1371	mel	1
seq35394	1371	mel	1
seq5355	1372	mel	0.412053
seq13719	1371	mel	1
seq22363	1371	mel	1
seq10705	1372	mel	0.989958
seq4503	1371	mel	1
seq14192	1371	mel	1
seq2474	1371	mel	1
seq21231	1371	mel	0.983526
seq16899	1371	mel	1
seq17084	1372	mel	0.865579
seq12498	1371	mel	1
seq7761	1371	mel	1
seq29747	1371	mel	0.953394
seq28241	1371	mel	1
seq20819	1371	mel	1
seq17847	1371	mel	1
seq18223	1372	mel	0.989516
seq13407	1371	mel	1
seq25176	1371	mel	1
seq8312	1371	mel	1
seq10072	1372	mel	0.934609
seq27941	1371	mel	1
seq40250	1371	mel	1
seq6972	1371	mel	1
seq11678	1371	mel	1
seq8876	1371	mel	1
seq21277	1371	mel	0.716174
seq28144	1372	mel	0.398911
seq3588	1371	mel	1
seq4498	1371	mel	1
seq26949	1371	mel	1
seq28227	1371	mel	1
seq13853	1371	mel	0.8416
seq42066	1372	mel	0.963516
seq4193	1371	mel	1
seq42070	1371	mel	1
seq33946	1371	mel	1
seq23455	1372	mel	0.843826
seq31683	1371	mel	1
seq17348	1371	mel	1
seq17596	1371	mel	0.97002
seq26383	1371	mel	0.938903
seq6787	1371	mel	1
seq19195	1371	mel	1
seq12223	1371	mel	1
seq8665	1372	mel	0.988822
seq54764	1372	mel	0.482892
seq4271	1371	mel	1
seq29303	1372	mel	0.917497
seq8705	1371	mel	1
seq41501	1371	mel	1
seq25934	1372	mel	0.880651
seq51132	1372	mel	0.98988
seq27412	1371	mel	1
seq17040	1371	mel	1
seq36327	1371	mel	1
seq29563	1371	mel	1
seq19332	1372	mel	0.97005
seq6122	1371	mel	1
seq26255	1371	mel	1
seq21558	1372	mel	0.495767
seq7663	1371	mel	1
seq5234	1371	mel	1
seq7149	1372	mel	0.421011
seq26884	1371	mel	0.687838
seq21805	1372	mel	0.978077
seq30178	1372	mel	0.907679
seq2838	1371	mel	1
seq18728	1371	mel	1
seq40734	1371	mel	1
seq56249	1371	mel	0.973254
seq29054	1371	mel	1
seq36663	1372	mel	0.967716
seq31108	1371	mel	1
seq17667	1371	mel	1
seq50973	1371	mel	1
seq23081	1372	mel	0.984378
seq26924	1371	mel	1
seq5483	1371	mel	0.723325
seq34172	1371	mel	1
seq10183	1371	mel	0.98309
seq22857	1371	mel	0.986355
seq29492	1371	mel	1
seq23268	1372	mel	0.837221
seq6684	1371	mel	1
seq36329	1371	mel	0.986434
seq9784	1371	mel	1
seq22890	1372	mel	0.82082599999999994
seq12865	1371	mel	1
seq65297	1372	mel	0.683212
seq30218	1371	mel	0.986603
seq18190	1372	mel	0.781626
seq32396	1371	mel	1
seq17671	1371	mel	1
seq9286	1372	mel	0.529393
seq7323	1371	mel	1
seq9564	1372	mel	0.963055
seq27428	1371	mel	1
seq4204	1371	mel	1
seq8586	1371	mel	1
seq34363	1371	mel	1
seq3439	1371	mel	1
seq25709	1371	mel	1
seq27805	1371	mel	1
seq45521	1371	mel	1
seq13646	1371	mel	1
seq9774	1371	mel	1
seq20041	1371	mel	1
seq35724	1371	mel	1
seq26467	1371	mel	1
seq14042	1371	mel	0.703435
seq27060	1372	mel	0.914947
seq13575	1371	mel	1
seq20757	1371	mel	1
seq29678	1371	mel	0.722697
seq37603	1371	mel	1
seq36435	1371	mel	1
seq21901	1372	mel	0.926896
seq11043	1372	mel	0.5335
seq32753	1372	mel	0.71417
seq5638	1371	mel	1
seq40762	1371	mel	1
seq13030	1371	mel	1
seq32469	1371	mel	1
seq18211	1371	mel	1
seq35015	1371	mel	1
seq27758	1371	mel	0.633547
seq37549	1371	mel	1
seq17283	1372	mel	0.880903
seq3012	1371	mel	1
seq41378	1371	mel	1
seq5628	1371	mel	1
seq7062	1371	mel	1
seq20701	1371	mel	1
seq15882	1371	mel	1
seq27493	1371	mel	1
seq26514	1371	mel	1
seq3986	1371	mel	1
seq3882	1371	mel	1
seq27578	1371	mel	1
seq30077	1371	mel	1
seq29645	1371	mel	1
seq27673	1371	mel	1
seq6868	1371	mel	1
seq17209	1371	mel	1
seq30191	1371	mel	1
seq12848	1372	mel	0.484398
seq30504	1372	mel	0.532282
seq31837	1372	mel	0.988052
seq5378	1371	mel	1
seq34399	1371	mel	1
seq29941	1371	mel	0.91108
seq7424	1371	mel	1
seq8073	1371	mel	1
seq40242	1371	mel	1
seq23853	1372	mel	0.548662
seq17406	1372	mel	0.860217
seq7660	1369	mel	1
seq37435	1369	mel	1
seq28931	1369	mel	1
seq10964	1369	mel	1
seq27994	1369	mel	1
seq6281	1369	mel	1
seq8737	1371	mel	0.671914
seq28322	1369	mel	1
seq17430	1372	mel	0.768261
seq40980	1369	mel	1
seq22089	1369	mel	1
seq29449	1369	mel	1
seq6589	1369	mel	1
seq30959	1371	mel	0.962984
seq61690	1371	mel	0.785667
seq9423	1369	mel	1
seq32394	1369	mel	1
seq7930	1369	mel	1
seq8294	1369	mel	1
seq29298	1369	mel	1
seq25535	1372	mel	0.768261
seq9361	1369	mel	1
seq9781	1369	mel	1
seq64643	1372	mel	0.644395
seq20816	1369	mel	1
seq28356	1371	mel	0.456917
seq20765	1373	mel	0.223016
seq28223	1372	mel	0.49628100000000003
seq20855	1372	mel	0.493898
seq5053	1373	mel	0.226117
seq19814	1367	mel	0.97757
seq23605	1367	mel	1
seq37385	1367	mel	1
seq9064	1372	mel	0.492689
seq3240	1367	mel	1
seq13582	1367	mel	1
seq27963	1367	mel	1
seq2216	1367	mel	1
seq17372	1367	mel	1
seq4239	1367	mel	1
seq40739	1367	mel	1
seq4814	1367	mel	1
seq8305	1367	mel	1
seq56074	1367	mel	1
seq28447	1367	mel	1
seq5161	1367	mel	1
seq27679	1367	mel	1
seq7146	1367	mel	1
seq51134	1371	mel	0.616921
seq6896	1367	mel	1
seq17785	1367	mel	1
seq32448	1367	mel	1
seq18082	1367	mel	1
seq9418	1367	mel	1
seq7312	1367	mel	1
seq30519	1367	mel	1
seq21197	1367	mel	0.974213
seq32984	1367	mel	1
seq25906	1367	mel	1
seq10020	1367	mel	1
seq7162	1367	mel	1
seq16766	1367	mel	1
seq13442	1367	mel	1
seq28962	1367	mel	0.573632
seq26064	1367	mel	1
seq40878	1367	mel	1
seq65091	1367	mel	1
seq10610	1367	mel	1
seq35680	1367	mel	1
seq27987	1367	mel	1
seq41553	1367	mel	0.973146
seq22451	1367	mel	0.611392
seq17617	1367	mel	1
seq28401	1367	mel	1
seq10156	1367	mel	1
seq4444	1367	mel	1
seq7456	1367	mel	1
seq58970	1367	mel	1
seq8910	1367	mel	0.537257
seq27148	1367	mel	1
seq31147	1367	mel	1
seq32669	1367	mel	0.836675
seq4312	1367	mel	1
seq6316	1367	mel	1
seq28350	1367	mel	1
seq4451	1367	mel	1
seq14432	1367	mel	1
seq22784	1372	mel	0.480409
seq4130	1367	mel	1
seq19766	1367	mel	1
seq14244	1367	mel	1
seq19032	1367	mel	1
seq29497	1367	mel	1
seq12117	1367	mel	1
seq34958	1367	mel	1
seq30169	1369	mel	0.335637
seq34010	1367	mel	1
seq27199	1367	mel	1
seq32118	1367	mel	1
seq46468	1367	mel	1
seq28724	1367	mel	1
seq18781	1367	mel	1
seq63411	1367	mel	1
seq5803	1367	mel	1
seq52225	1367	mel	1
seq6580	1367	mel	1
seq29453	1367	mel	1
seq14013	1367	mel	1
seq6777	1367	mel	1
seq19108	1367	mel	1
seq12595	1367	mel	1
seq27057	1367	mel	1
seq30327	1367	mel	1
