name	edge_num	taxon	like_weight_ratio
seq12206	108	DEC_XI	0.825892
seq4395	108	DEC_XI	0.858306
seq9238	106	DEC_XI	0.33187
seq2558	106	DEC_XI	0.333682
seq5501	106	DEC_XI	0.332751
seq19693	106	DEC_XI	0.33276
seq20394	107	DEC_XI	0.453272
seq60802	106	DEC_XI	0.331908
seq41017	103	DEC_X	0.963454
seq18663	103	DEC_X	0.968825
seq4466	97	DEC_IX	0.209639
seq55386	97	DEC_IX	0.208463
seq61674	97	DEC_IX	0.208493
seq5080	97	DEC_IX	0.209649
seq14032	97	DEC_IX	0.208555
seq34594	97	DEC_IX	0.208526
seq1273	97	DEC_IX	0.209688
seq12970	97	DEC_IX	0.209606
seq11334	98	DEC_IX	0.750276
seq41189	97	DEC_IX	0.208525
seq32379	89	FC_IV	0.186801
seq20560	86	FC_IV	0.19807
seq642	86	FC_IV	0.198288
seq8407	86	FC_IV	0.19828
seq17248	73	BD3	0.406511
seq2354	72	FC_II	1
seq9618	115	BD4	0.220644
seq4946	72	FC_II	1
seq1655	72	FC_II	0.997988
seq32154	72	FC_II	0.773745
seq4294	72	FC_II	0.973407
seq5431	91	BD4	0.36394
seq18702	66	FC_I	0.940241
seq39778	62	FC_I	0.810256
seq34702	61	FC_I	0.143592
seq25242	61	FC_I	0.143586
seq11457	61	FC_I	0.143602
seq59020	73	BD3	0.42728
seq4333	73	BD3	0.411698
seq59999	72	FC_II	0.399463
seq18610	61	FC_I	0.14359
seq25825	73	BD3	0.489725
seq2263	57	BD2	0.591861
seq59121	56	pseudopedinella	0.302785
seq6367	56	pseudopedinella	0.292288
seq39568	56	pseudopedinella	0.371751
seq35829	56	pseudopedinella	0.365828
seq4805	56	pseudopedinella	0.379035
seq2466	56	pseudopedinella	0.401756
seq18675	56	pseudopedinella	0.372083
seq8879	57	BD2	0.310256
seq30125	58	BD2	0.145701
seq42154	98	DEC_IX	0.694657
seq21091	43	DEC_VI	1
seq7752	43	DEC_VI	1
seq54259	41	rhizochromulina	0.813548
seq19533	41	rhizochromulina	0.858874
seq20544	41	rhizochromulina	0.799415
seq12881	41	rhizochromulina	1
seq54207	41	rhizochromulina	0.830321
seq16973	41	rhizochromulina	0.57841
seq12953	41	rhizochromulina	0.76353
seq18803	40	rhizochromulina	0.56533
seq35836	41	rhizochromulina	0.98312
seq4550	40	rhizochromulina	0.530141
seq5036	41	rhizochromulina	0.544383
seq12619	41	rhizochromulina	0.547874
seq58042	118	outgroup	0.144264
seq61503	34	BD1	1
seq29213	34	BD1	0.978789
seq28367	34	BD1	0.94849000000000006
seq23334	34	BD1	0.947299
seq64803	34	BD1	0.925808
seq28244	34	BD1	0.92554
seq21718	34	BD1	0.530064
seq7063	34	BD1	0.425413
seq3217	31	DEC_IV	0.142904
seq22150	33	DEC_IV	0.143221
seq3916	25	DEC_III	0.334049
seq55553	25	DEC_III	0.31519
seq56010	33	DEC_IV	0.143663
seq17944	33	DEC_IV	0.143245
seq28794	33	DEC_IV	0.142897
seq8717	25	DEC_III	0.306437
seq22169	22	DEC_II	0.420203
seq21549	18	DEC_II	0.723549
seq2231	12	DEC_I	0.199
seq751	11	DEC_I	0.200151
seq19609	11	DEC_I	0.199503
seq16905	25	DEC_III	0.318205
seq41395	25	DEC_III	0.318027
seq9209	25	DEC_III	0.321055
seq27591	33	DEC_IV	0.143235
seq42223	25	DEC_III	0.318143
seq41072	7	DEC_I	0.142857
seq30200	20	DEC_II	0.142857
seq261	20	DEC_II	0.142857
seq41916	34	BD1	0.871592
seq856	23	DEC_II	0.143449
seq54626	3	DEC_I	0.367231
seq53945	3	DEC_I	0.509401
seq18253	3	DEC_I	0.368846
seq29271	34	BD1	0.896589
seq6099	3	DEC_I	0.370218
seq21566	18	DEC_II	0.276369
seq62812	3	DEC_I	0.823235
