name	edge_num	taxon	like_weight_ratio
seq41290	535	rho	0.35004
seq31910	523	chr	0.193127
seq18124	523	chr	0.194519
seq37344	529	chr	0.501236
seq55835	520	chr	0.259126
seq18795	518	chr	0.996077
seq13142	518	chr	0.995877
seq60810	529	chr	0.342411
seq42190	528	chr	0.210129
seq8273	528	chr	0.215087
seq34000	516	chr	0.231949
seq13283	512	chr	1
seq3948	512	chr	1
seq61046	512	chr	1
seq5173	512	chr	1
seq65223	512	chr	1
seq20617	512	chr	1
seq35302	512	chr	1
seq53762	512	chr	1
seq60680	512	chr	1
seq9819	512	chr	0.670584
seq59950	512	chr	1
seq62817	511	chr	1
seq2790	511	chr	1
seq4035	512	chr	0.890477
seq8008	512	chr	0.862323
seq7404	512	chr	0.860815
seq25819	521	chr	0.570013
seq35049	499	chr	0.270661
seq42014	499	chr	0.274936
seq8216	529	chr	0.211001
seq31393	498	chr	0.253741
seq9483	504	chr	0.239269
seq63244	498	chr	0.281056
seq64833	498	chr	0.193472
seq28205	505	chr	0.554178
seq18199	498	chr	0.253087
seq56485	505	chr	0.506925
seq56487	501	chr	0.152423
seq7624	519	chr	0.144487
seq4260	493	chr	1
seq2061	493	chr	1
seq3102	491	chr	1
seq4634	493	chr	0.760374
seq40104	491	chr	1
seq6148	491	chr	1
seq7433	491	chr	1
seq40968	491	chr	1
seq20594	491	chr	1
seq24879	491	chr	1
seq34721	491	chr	1
seq33113	491	chr	1
seq4460	491	chr	1
seq953	490	chr	1
seq2019	490	chr	0.895253
seq4353	490	chr	0.915013
seq15335	490	chr	0.922953
seq12643	490	chr	0.323769
seq7388	490	chr	0.332364
seq36160	486	chr	0.89937
seq1370	490	chr	0.334105
seq61722	486	chr	1
seq1806	490	chr	0.326569
seq42672	482	chr	0.727342
seq2297	482	chr	0.925852
seq52855	482	chr	0.912393
seq60576	482	chr	0.886673
seq6993	484	chr	0.968878
seq29966	484	chr	0.904867
seq7022	484	chr	0.908851
seq54455	480	chr	0.904211
seq62061	480	chr	0.969465
seq33419	480	chr	0.947381
seq421	480	chr	0.909989
seq27842	480	chr	1
seq8730	480	chr	1
seq35728	480	chr	0.870402
seq20891	480	chr	0.945613
seq3284	480	chr	1
seq3432	480	chr	0.923515
seq36372	480	chr	0.889532
seq20722	480	chr	1
seq54281	480	chr	0.867594
seq56711	480	chr	1
seq35730	480	chr	1
seq50953	480	chr	0.953273
seq7410	480	chr	1
seq13881	480	chr	1
seq7502	480	chr	0.829745
seq810	480	chr	0.961835
seq21585	480	chr	0.926571
seq35283	477	chr	0.984846
seq2857	480	chr	0.400695
seq61907	480	chr	0.355761
seq18390	480	chr	0.465431
seq60069	480	chr	0.41613
seq52723	480	chr	0.307601
seq20000	480	chr	0.459258
seq1254	480	chr	0.399998
seq53094	476	chr	0.333509
seq16498	474	chr	0.333533
seq59700	476	chr	0.341912
seq12304	475	chr	0.333534
seq649	475	chr	0.333534
seq54332	475	chr	0.333532
seq47763	484	chr	0.939527
seq11922	470	chr	0.33335
