name	edge_num	taxon	like_weight_ratio
seq31494	95	2ndaryPlastid	1
seq10263	94	2ndaryPlastid	0.662573
seq23578	102	2ndaryPlastid	0.286267
seq22712	95	2ndaryPlastid	0.537937
seq31901	94	2ndaryPlastid	0.302521
seq10443	100	Alveo_Green	1
seq29138	100	Alveo_Green	1
seq61723	100	Alveo_Green	1
seq8133	100	Alveo_Green	1
seq14430	100	Alveo_Green	1
seq36606	100	Alveo_Green	1
seq23628	100	Alveo_Green	1
seq49092	100	Alveo_Green	1
seq56883	100	Alveo_Green	1
seq32629	100	Alveo_Green	1
seq55367	100	Alveo_Green	1
seq9821	100	Alveo_Green	1
seq23130	100	Alveo_Green	1
seq41602	100	Alveo_Green	1
seq10283	100	Alveo_Green	1
seq23394	100	Alveo_Green	0.98582
seq22859	100	Alveo_Green	1
seq41923	100	Alveo_Green	1
seq14313	100	Alveo_Green	0.88916
seq42847	100	Alveo_Green	0.753721
seq36291	100	Alveo_Green	0.946393
seq9233	100	Alveo_Green	0.314657
seq32208	100	Alveo_Green	0.917542
seq7413	100	Alveo_Green	0.888535
seq8619	100	Alveo_Green	0.938464
seq7369	100	Alveo_Green	0.485963
seq57701	100	Alveo_Green	0.875258
seq9623	100	Alveo_Green	0.650458
seq62259	100	Alveo_Green	0.861497
seq42062	100	Alveo_Green	0.820858
seq8777	100	Alveo_Green	0.294822
seq41299	100	Alveo_Green	0.373067
seq21599	100	Alveo_Green	0.478772
seq46473	100	Alveo_Green	0.559819
seq64326	100	Alveo_Green	0.754812
seq30052	100	Alveo_Green	0.581313
seq9816	100	Alveo_Green	0.228995
seq21229	100	Alveo_Green	0.473399
seq55618	100	Alveo_Green	0.382602
seq30432	100	Alveo_Green	0.290277
seq61094	178	Bathy	1
seq56842	178	Bathy	1
seq11662	178	Bathy	1
seq29394	178	Bathy	1
seq63770	178	Bathy	0.994123
seq65687	178	Bathy	0.984014
seq26498	178	Bathy	1
seq177	178	Bathy	1
seq11443	178	Bathy	1
seq7808	178	Bathy	1
seq1412	187	Bathy	0.602681
seq26818	67	Chlo_Chlo	0.72691
seq22879	67	Chlo_Chlo	0.493615
seq9798	61	Chlo_Chlo	0.718903
seq8561	61	Chlo_Chlo	0.955782
seq7896	66	Chlo_Chlo	0.350007
seq18113	57	Chlo_Chlo	1
seq55502	57	Chlo_Chlo	0.421126
seq55520	57	Chlo_Chlo	0.786288
seq42937	67	Chlo_Chlo	0.341818
seq35607	57	Chlo_Chlo	0.307341
seq58127	66	Chlo_Chlo	0.359225
seq64335	57	Chlo_Chlo	0.737551
seq35841	57	Chlo_Chlo	0.826693
seq9463	66	Chlo_Chlo	0.206693
seq22419	57	Chlo_Chlo	0.909846
seq28097	66	Chlo_Chlo	0.208454
